round_idx,client_id,selected,is_attacker,train_loss,train_acc,update_norm
16,10,True,False,0.29510464827219646,0.9123333333333333,0.0914093405008316
16,11,True,False,0.28692956749598186,0.9206666666666666,0.0938461497426033
16,12,True,False,0.29170925998687747,0.918,0.0854189470410347
16,13,True,False,0.30930585169792174,0.904,0.09862299263477325
16,14,True,False,0.2723899134794871,0.9196666666666666,0.09646403789520264
16,15,True,False,0.29380043705304465,0.9163333333333333,0.0873551219701767
16,16,True,False,0.28355513262748716,0.9173333333333333,0.08653426170349121
16,17,True,False,0.28307913907368976,0.9166666666666666,0.08860652893781662
16,18,True,False,0.2872434504032135,0.9143333333333333,0.08807403594255447
16,19,True,False,0.2757830134232839,0.9166666666666666,0.08113699406385422
17,0,True,False,0.2642988291581472,0.9266666666666666,0.08889033645391464
17,1,True,False,0.2767150259812673,0.9186666666666666,0.08788372576236725
17,2,True,False,0.2744672730763753,0.9173333333333333,0.09285953640937805
17,3,True,False,0.28432303516070045,0.9123333333333333,0.11370183527469635
17,4,True,False,0.2934171011050542,0.9183333333333333,0.08299621939659119
17,5,True,False,0.2761725799242655,0.9236666666666666,0.09136275202035904
17,6,True,False,0.27325529233614604,0.9183333333333333,0.09967125952243805
17,7,True,False,0.26508842929204307,0.9236666666666666,0.08372580260038376
17,8,True,False,0.25826631736755373,0.931,0.07866548001766205
17,9,True,False,0.27638132294019063,0.917,0.09158377349376678
17,10,True,False,0.3034090821743011,0.9073333333333333,0.14075002074241638
17,11,True,False,0.2618274745941162,0.9256666666666666,0.09198715537786484
17,12,True,False,0.2839926916758219,0.922,0.08738479018211365
17,13,True,False,0.2780656895637512,0.914,0.09065280854701996
17,14,True,False,0.25564554444948834,0.9223333333333333,0.09742637723684311
17,15,True,False,0.2864986475308736,0.9166666666666666,0.0815751850605011
17,16,True,False,0.245207759141922,0.926,0.09345974028110504
17,17,True,False,0.2664330644607544,0.9206666666666666,0.1031307652592659
17,18,True,False,0.2810554209550222,0.9156666666666666,0.08794514834880829
